epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9439,2.14043,3.55224,5.94619,1.85741,0,0.40533,0.13174,0.10742,0.0627,0.4038,0.12319,0.0995,0.05435,1.70075,2.32925,4.58733,1.6286,0,0.000164319,0.000164319,0.000164319
2,51.0376,1.70963,2.72172,3.45972,1.5799,0,0.74352,0.14534,0.17475,0.10855,0.71864,0.1468,0.16819,0.10264,1.65987,2.37036,3.69234,1.56593,0,0.000324432,0.000324432,0.000324432
3,75.8218,1.64207,2.64463,3.02112,1.53793,0,0.44696,0.19531,0.16498,0.10473,0.45334,0.20096,0.15776,0.09044,1.52265,2.05021,3.41895,1.46874,0,0.000477946,0.000477946,0.000477946
4,100.56,1.60178,2.70331,2.69945,1.54364,0,0.40443,0.18391,0.2512,0.16072,0.39563,0.18539,0.24583,0.13198,1.63487,2.22768,3.00992,1.6289,0,0.0004703,0.0004703,0.0004703
5,125.256,1.52528,2.42643,2.38493,1.48373,0,0.56108,0.2351,0.2571,0.17595,0.55966,0.2338,0.25553,0.1551,1.49634,1.87933,2.42633,1.55336,0,0.0004604,0.0004604,0.0004604
6,150.333,1.55947,2.50161,2.23545,1.50593,0,0.51599,0.2225,0.26664,0.17513,0.51408,0.22119,0.26485,0.15824,1.54913,1.91437,2.04379,1.59196,0,0.0004505,0.0004505,0.0004505
7,175.539,1.42703,2.21319,1.97013,1.4278,0,0.21578,0.33384,0.24702,0.1681,0.22276,0.32783,0.2451,0.14301,1.47813,1.9391,1.89098,1.47265,0,0.0004406,0.0004406,0.0004406
8,200.328,1.49463,2.56752,2.08039,1.48964,0,0.4411,0.31975,0.2971,0.20088,0.4557,0.3364,0.30418,0.17882,1.40528,1.83688,1.86051,1.42716,0,0.0004307,0.0004307,0.0004307
9,224.857,1.40815,2.24093,1.98123,1.42691,0,0.51773,0.34097,0.34852,0.22654,0.52434,0.35184,0.34534,0.20274,1.41104,1.84847,1.75718,1.43808,0,0.0004208,0.0004208,0.0004208
10,249.688,1.41784,2.32939,1.93296,1.43946,0,0.57677,0.34257,0.33651,0.22747,0.57798,0.34604,0.33624,0.19142,1.37143,1.86392,1.8732,1.38944,0,0.0004109,0.0004109,0.0004109
11,274.809,1.41794,2.32669,1.88002,1.43488,0,0.53232,0.33979,0.33568,0.23181,0.52803,0.33686,0.33737,0.21517,1.44282,1.73006,1.73014,1.4532,0,0.000401,0.000401,0.000401
12,299.956,1.37247,2.27485,1.78959,1.41472,0,0.54669,0.31209,0.35506,0.2401,0.57889,0.32186,0.36561,0.2312,1.36727,1.67563,1.67949,1.38163,0,0.0003911,0.0003911,0.0003911
